5.388571	6.607415	D2
7.398594	8.624565	D2-2
9.358723	10.634588	D2-3
11.381219	12.494928	D2-4
13.360949	14.449711	D2-5
17.313280	18.396697	D#2
19.335777	20.535019	D#2-2
23.300582	24.514080	E2
27.302808	28.703409	F2
31.292560	32.980053	bended
35.383883	37.124834	G2-bended
39.355816	40.633464	F#2
41.419297	42.524097	F#2-2
43.322404	44.443241	F#2-3
45.352028	46.446136	G2-2
47.338885	48.500707	G2-3
49.339998	50.453707	G2-4
51.383878	52.543917	G#2
53.351134	54.521865	G#2-2
55.382540	56.555053	G#2-3
57.282082	58.543692	G#2-4
59.363382	60.195546	G#2-5
61.296782	62.440784	G#2-6
63.383428	64.457935	G#2-7
65.370285	66.476867	G#2-7
67.321504	68.501145	A3
69.336873	70.423853	A3-2
71.378970	72.414274	A3-3
73.355136	74.365493	A3-4
75.292099	76.306020	A#3
77.330633	78.323171	A#3-2
79.306799	80.416944	A#3-3
81.407700	82.460824	A#3-4
83.346446	84.451245	B3
85.286973	86.423847	B3-2
87.307687	88.524749	B3-3
89.387205	90.418946	B3-5
91.304567	92.348781	C3
93.289643	94.358804	C3-2
95.401236	96.431194	C#3
97.322162	98.407360	C#3-2
99.312583	100.349669	C#3-3
101.304786	102.042508	C#3-4
103.377177	104.624531	D3
105.333742	106.431413	D3-2
107.258231	108.455692	D3-3
109.325276	110.522736	D#3
111.306788	112.532759	D#3-2
113.331066	114.585548	D#3-3
115.312577	116.481527	D#3-4
117.279834	118.363250	E3
119.261345	120.373273	E3-2
121.299879	122.511595	E3-3
123.395435	124.535873	F3
125.405457	126.588662	F3-2
127.344203	128.612940	F3-3
129.325714	130.466153	F#3
131.250204	132.447664	F#3-2
133.260227	134.543220	F#3-3
135.341527	136.510476	G3
137.208995	138.549010	G3-2
139.375828	140.573288	G3-3
141.271806	142.455011	G#3
145.220574	146.460801	G#3-2
147.287619	148.385291	G#3-3
149.326153	150.438080	A4
151.293409	152.277037	A4-2
153.346198	154.258549	A4-3
155.313454	156.354104	A#4
157.294966	158.435404	A#4-2
159.247967	160.388405	A#4-3
161.329267	162.455450	A#4-4
163.296523	164.337173	A4-4
165.306546	166.446984	A4-5-instable
167.387846	168.457007	A4-6-instable
