6.582617	7.822210	_-a-c3
8.579489	9.811570	_-a-c3-2
10.615428	11.885072	_-a-c3-3
12.661884	13.931528	_-a-c3-4
14.664766	15.886329	_-a-c3-5
16.697699	17.878694	_-a-c3-6
18.652501	19.824480	_-a-c3-7
22.601169	23.774651	_-e-c3
24.622082	25.857168	_-e-c3-2
26.652011	27.830000	_-e-c3-3
28.669918	29.828375	_-e-c3-4
31.699034	32.762831	_-i-c3
33.577206	34.714627	_-i-c3-2
35.676251	36.839215	_-i-c3-3
37.680636	38.750443	_-i-c3-4
41.677386	43.008634	_-o-c3
43.707314	45.025039	_-o-c3-2
45.626054	46.967820	_-o-c3-3
47.678521	48.922622	_-o-c3-4
49.541667	50.936022	_-o-c3-5
51.603149	52.638397	_-o-c3-6
54.719412	55.897401	_-ou-c3
56.650172	57.799613	_-ou-c3-2
58.568913	59.811511	_-ou-c3-3
60.672465	61.839937	_-ou-c3-4
63.710596	65.004281	_-u-c3
65.708971	66.971102	_-u-c3-2
67.723874	68.862797	_-u-c3-3
69.695203	70.909253	_-u-c3-4
